time,tavg,tmin,tmax,prcp,season
30-06-1991,36.2,29.6,42.2,0.0,summer
01-07-1991,34.7,28.9,41.0,0.0,summer
02-07-1991,36.8,32.6,42.1,0.0,summer
03-07-1991,36.4,,41.6,0.0,summer
04-07-1991,35.7,,40.8,0.0,summer
05-07-1991,35.2,,41.0,0.0,summer
06-07-1991,36.0,31.0,41.3,0.0,summer
07-07-1991,36.6,32.0,41.3,0.0,summer
08-07-1991,33.9,,40.9,,summer
09-07-1991,34.4,29.2,39.7,0.0,summer
10-07-1991,30.1,,37.8,,summer
11-07-1991,29.8,,33.2,,summer
12-07-1991,31.1,25.9,36.4,0.0,summer
13-07-1991,31.8,27.3,36.3,0.0,summer
14-07-1991,34.6,29.1,38.2,0.0,summer
15-07-1991,34.4,30.3,,0.0,summer
16-07-1991,30.2,,33.1,1.5,summer
17-07-1991,31.8,28.9,34.7,0.3,summer
18-07-1991,33.2,28.3,37.4,0.0,summer
19-07-1991,33.8,29.4,37.4,0.0,summer
20-07-1991,31.5,,37.8,,summer
21-07-1991,30.5,,36.0,,summer
22-07-1991,28.7,,36.3,0.0,summer
23-07-1991,31.0,25.7,35.5,30.2,summer
24-07-1991,28.6,,34.4,0.0,summer
25-07-1991,32.6,27.3,36.9,10.4,summer
26-07-1991,32.1,29.5,37.1,0.0,summer
27-07-1991,33.7,28.5,37.1,2.0,summer
28-07-1991,33.6,30.0,39.4,0.0,summer
29-07-1991,31.4,,33.8,0.0,summer
30-07-1991,32.6,28.6,36.1,0.0,summer
31-07-1991,31.8,28.4,35.0,0.0,summer
